1403636581863555328,-0.00141,0.00545,-0.06076,-0.02673,0.81405,0.03496,0.57913,-0.03427,-0.00698,-0.72221,
1403636581963555584,-0.00560,0.00639,-0.13098,-0.02804,0.82050,0.03245,0.57003,-0.03916,0.01336,-0.67351,
1403636582063555584,-0.00882,0.00826,-0.19325,-0.02501,0.82998,0.02969,0.55644,-0.03124,0.02824,-0.55202,
1403636582163555328,-0.01178,0.01188,-0.23737,-0.02586,0.83870,0.03146,0.54306,-0.02504,0.04725,-0.30946,
1403636582263555584,-0.01210,0.01627,-0.25248,-0.02746,0.84386,0.03390,0.53479,0.02564,0.04230,0.02084,
1403636582363555328,-0.00828,0.02136,-0.23241,-0.02994,0.84339,0.03473,0.53534,0.04366,0.05820,0.35928,
1403636582463555584,-0.00360,0.02673,-0.18733,-0.03118,0.83587,0.03422,0.54697,0.05758,0.04876,0.51720,
1403636582563555584,0.00261,0.03054,-0.13161,-0.02784,0.82924,0.03402,0.55715,0.06041,0.03239,0.57687,
1403636582663555328,0.00842,0.03265,-0.07303,-0.02198,0.82609,0.03256,0.56216,0.04880,0.01649,0.58036,
1403636582763555584,0.01031,0.02943,-0.00093,-0.02085,0.82287,0.02848,0.56713,0.06434,-0.00822,0.58532,
1403636582863555328,0.01714,0.02759,0.05688,-0.01780,0.81670,0.01974,0.57645,0.05867,-0.01999,0.56500,
1403636582963555584,0.02112,0.02620,0.10699,-0.01591,0.80709,0.01378,0.59005,0.02194,-0.00579,0.42075,
1403636583063555584,0.02196,0.02642,0.13502,-0.01428,0.79867,0.01295,0.60146,0.00501,0.01039,0.12881,
1403636583163555328,0.02261,0.02733,0.13122,-0.01040,0.79687,0.01382,0.60391,0.00268,0.01241,-0.21939,
1403636583263555584,0.02350,0.02991,0.09419,-0.00867,0.79861,0.01628,0.60157,0.01404,0.02549,-0.50415,
1403636583363555328,0.02563,0.03221,0.03427,-0.00946,0.80122,0.01786,0.59803,0.01305,0.01156,-0.68789,
1403636583463555584,0.02629,0.03326,-0.04010,-0.01194,0.80451,0.02151,0.59343,-0.00839,0.01723,-0.78515,
1403636583563555584,0.02017,0.02506,-0.09143,-0.01216,0.80881,0.02483,0.58742,-0.01201,0.00652,-0.79139,
1403636583663555328,0.01856,0.02672,-0.17132,-0.01176,0.81656,0.02551,0.57657,-0.03355,0.04110,-0.78698,
1403636583763555584,0.01490,0.03021,-0.24534,-0.01881,0.82918,0.02231,0.55823,-0.04047,0.03455,-0.69020,
1403636583863555328,0.01045,0.03377,-0.30865,-0.02067,0.83926,0.02026,0.54296,-0.04711,0.03474,-0.57813,
1403636583963555584,0.00547,0.03757,-0.35792,-0.01737,0.84381,0.02579,0.53574,-0.05546,0.05045,-0.39802,
1403636584063555584,-0.00368,0.03060,-0.35008,-0.02109,0.84448,0.03167,0.53423,-0.03319,0.05979,-0.12441,
1403636584163555328,-0.00371,0.03613,-0.34773,-0.02529,0.84439,0.03480,0.53400,0.02393,0.05187,0.17330,
1403636584263555584,-0.00017,0.04109,-0.31836,-0.02573,0.84354,0.03590,0.53524,0.04373,0.05072,0.39782,
1403636584363555328,0.00548,0.04584,-0.27240,-0.02420,0.84140,0.03635,0.53864,0.07906,0.03352,0.53331,
